"case_type","victim_female","victim_male","perpetrator_female","perpetrator_male"
"IPV homicide","93/341 (27.3%)","46/60 (76.7%)","38/50 (76.0%)","154/352 (43.8%)"
"Other familial homicide","2/16 (12.5%)","10/22 (45.5%)","3/3 (100.0%)","14/36 (38.9%)"
"Parricide homicide","10/49 (20.4%)","8/30 (26.7%)","2/13 (15.4%)","35/64 (54.7%)"
"Other/uncategorised homicide","5/9 (55.6%)","11/18 (61.1%)","0/1 (0.0%)","17/25 (68.0%)"
"All retained homicide cases","110/415 (26.5%)","75/130 (57.7%)","43/67 (64.2%)","220/477 (46.1%)"
