"incident_id","underlying_case_type","overlapping_case_type_flags","victim_suicide","homicide_suicide","victim_alcohol_indicator","perpetrator_alcohol_indicator","both_alcohol_indicators"
"INC-0234","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0235","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0236","Parricide",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0237","Other familial",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"INC-0238","Other familial",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0239","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0240","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0241","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0242","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0243","IPV",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"INC-0244","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0245","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0246","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0247","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0248","Other familial",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0249","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0250","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0251","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0252","Other familial",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0253","IPV",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"INC-0254","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0255","IPV",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"INC-0256","IPV",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0257","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0258","IPV",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"INC-0259","IPV",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"INC-0260","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0261","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
